Text,language
"Meanwhile,102 were found positive for coronavirus at the Kumbh Mela in Uttarakhand's Haridwar. . . . #KumbhMela #KumbhDuringCovid #TablighiJamaat #Uttarakhand #TirathSinghRawat #ThesSecondAngle #Politics #indianpolitics  https://t.co/y4cU6DibRn",en
"#Clowns : Maharashtra tops the list of Coronavirus cases in the 2nd wave because of Elections in West Bengal &amp; Kumbh Mela in UP not because the govt during pandemic was busy with Arnab Goswami, Kangana Ranaut &amp; alleged #100CroreKiVasuli",en
"#learnEnglish with the news 🗞 👇  RT @nytimes: Millions of Hindu pilgrims have traveled to Haridwar, India, to bathe in the Ganges during the Kumbh Mela festival.  The event comes as India’s coronavirus outbreak is spiralling:   https://t.co/Dv9kEZ9cmA",en
"#Coronavirus #India #16Abr:  El covid-19 no evitó la celebración del Kumbh Mela (Peregrinación Religiosa), cientos de indues entraron en el río Ganges.  India es el 1er país con más casos de Covid19 a nivel mundial con 216.850 contagios en un día.  https://t.co/ZuJLVxjFoF",es
"‘Super-spreader’: Over 1,000 COVID positive at India’s Kumbh Mela | Coronavirus pandemic News   https://t.co/C8LPZYsYKa  https://t.co/ladurnpZUY",en
"@Akarsh03900032 @kafiravadh Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period - The Hindu  https://t.co/O0KgtvptIW",en
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India | ABC News  https://t.co/U1XFcc0HAh,en
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India  https://t.co/xKXR5Cfvge.   # Hope not to many of these Indian folk don’t hold joint Australian citizenship &amp; want to come “home”,en
@banuki_86 The repercussions (spreading of coronavirus) of Kumbh mela will be visible by end of April or beginning of May.,en
"Shaan reacts to 1,700 people testing Covid positive at Kumbh Mela  #Shaan #KumbhMela #Coronavirus #COVID19 #Corona #Covid  @singer_shaan    https://t.co/pUaadM2DiC",en
Kumbh Mela Exposes BJP's Double Standards  #KumbhMela #Coronavirus #Covid19 #Cases #India    https://t.co/frHbBbFTlZ,en
But none of the farmers have contracted Covid 19. Is this Coronavirus appeal only for Ethnic minorities? What about the vast crowds at Kumbh mela and the Govts. political rallies? #Fascist,en
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India - ABC News  https://t.co/rcz3mRNNPs  via @skinnergj,en
"#BHdunia Seorang ketua agama Hindu meninggal dunia, 80 yang lain disahkan positif selepas menyertai festival Kumbh Mela    https://t.co/e1EAk5AVJO  #coronavirus #covid19",in
Niranjani Akhara's Ravindra Puri tested positive for #COVID19. He attended the Kumbh Mela in Uttarakhand's Haridwar  #coronavirus #COVID19 #KumbhMela  #CGNews #BeyondJustNews,hi
"@Bushan19466930 @varungrover @FaisalShoeb Agree. Maharashtra tops the list of Coronavirus cases in the 2nd wave because of Elections in West Bengal &amp; Kumbh Mela in UP not because the govt during pandemic was busy with Arnab Goswami, Kangana Ranaut &amp; #100CroreKiVasuli",en
"Notice how “sicklurism ke chode” just highlighting “Kumbh Mela” gathering and not Farmers Protest, Baisakhi at Gurudwara, Ramadan and other religious gatherings 😍  #KumbhMela2021 #HaridwarMahakumbh2021 #seculardoge #FarmersProtest #coronavirus #CoronaPandemic #CoronaPandemic",en
Kumbh Mela: 30 Sadhus test positive for COVID-19 Kumbh Mela: 30 Sadhus test positive for COVID-19At least 30 sadhus tested positive for coronavirus in the mega Kumbh Mela at Uttarakhand’s Haridwar. Kumbh Mela 30 Sadhus test positive for...  https://t.co/mbJ14HQbPx,en
Dear @uttarakhandcops    Is they are not Corona Spreader? Is any case bookede against them for spreading coronavirus? Is they are not responsible for doing corona bomb blast in India? Can you booked murder or attempt to murder case agaisnt organizer of Kumbh Mela?  @asadowaisi  https://t.co/EpxH6bpmiR,en
@ANI Dear @uttarakhandcops    Is they are not Corona Spreader? Is any case bookede against them for spreading coronavirus? Is they are not responsible for doing corona bomb blast in India? Can you booked murder or attempt to murder case agaisnt organizer of Kumbh Mela?  @asadowaisi  https://t.co/mXxAxknu1Q,en
"@swaparhi @ANI No don't blame MH, the coronavirus has spread all across India. It's the collective carelessness of people who didn't wear masks and roamed around partying. On Kumbh,1,701 Covid-19 cases detected at Kumbh Mela in past 5 days and Mahamandaleshwar Kapil Dev Das, died from Covid-19",en
"Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period  https://t.co/WKXPssmnXd",en
"No surprise.  No social distancing, no facemasks and Covid is rampant in India.  Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India    https://t.co/00SAHLRwog",en
@jaavedjaaferi And the dear leader has arranged special trains for our donkeys to collect their coronavirus from Kumbh Mela 🤨,en
"""Hey guys you're allowed to get coronavirus except for Kumbh Mela. Where you're allowed to get MORE coronavirus""",en
"@zoo_bear April 2020 - 10 cases per day: Lockdown April 2021 - 2 Lakhs cases per day: IPL, Kumbh Mela, Political rallies  #CoronaSecondWave #COVIDー19 #COVID19 #coronavirus",en
"@PBnrg @SahilBulla April 2020 - 10 cases per day: Lockdown April 2021 - 2 Lakhs cases per day: IPL, Kumbh Mela, Political rallies  #CoronaSecondWave #COVIDー19 #COVID19 #coronavirus",en
"@thevirdas April 2020 - 10 cases per day: Lockdown April 2021 - 2 Lakhs cases per day: IPL, Kumbh Mela, Political rallies  #CoronaSecondWave #COVIDー19 #COVID19 #coronavirus",en
"April 2020 - 10 cases per day: Lockdown April 2021 - 2 Lakhs cases per day: IPL, Kumbh Mela, Political rallies  #CoronaSecondWave #COVIDー19 #COVID19 #coronavirus",en
"#Madness A total of 2,167 people were found positive for coronavirus in Haridwar -- the place where the month-long Kumbh Mela is going on -- in the last five days.  https://t.co/XqvN6QXSjt",en
Last year our government was unable to arrange a train for migrant laborers .  This year Government organized 26 special trains for Maha Kumbh Mela and Covid cases are 2.2 million +  #CoronaSecondWave #fridaymorning #Corona #Covid #PMCaresFund #coronavirus #Senseless #  https://t.co/E2ZumcugYu,en
"@ABPNews Kumbh Mela lagane se coronavirus ni ho ga,🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳😁😁🇮🇳🇮🇳🇮🇳😁🇮🇳😁😁😁😁😁😁😁😁😁",hi
"Several Contract Covid-19 During Kumbh Mela, Niranjani Akhada Announces Exit  #kumbhmela #covid #india #coronavirus    https://t.co/bY5SMyHt7y",ro
kumbh mela feels like just another networking event for coronavirus strains and variants.,en
Last year @BJP4India government couldn't organise train for migrants when daily rise in  cases were just 1000. But this time they organised more than 25 special trains for Kumbh Mela when there are surge in cases of about 1.85lac. #COVID19 #coronavirus @RahulGandhi @narendramodi,en
Coronavirus Live Tracker: Kumbh Mela gets another exemption from Uttarakhand govt @FinancialXpress- https://t.co/Fotp9jlZtr,en
Hundreds have positive results against coronavirus at ‘super-distributive’ festival Kumbh Mela in India  https://t.co/Q7Ayw1MjQf,en
"Hello @IndiaToday , Last Year You Created This Graphic (Pic 1) to Target Muslims.  Will You Make Same Graphic Related to Kumbh Mela❓   #coronavirus #KumbhCorona  https://t.co/UWbR7rqgUz",en
ಕುಂಭಮೇಳದಲ್ಲಿ ಭಾಗವಹಿಸಿದ್ದ 30 ಸಾಧುಗಳಿಗೆ ಕೊರೊನಾ ಸೋಂಕು | 30 Sadhus In Kumbh Mela Test Coronavirus Positive  https://t.co/IA10JGKZaz,und
"30 Sadhus in the ongoing Kumbh Mela at Haridwar, Uttarakhand have tested positive for the novel coronavirus, said the Chief Medical Officer on Friday. #KumbhMela #COVIDSecondWave #KumbhCorona    https://t.co/S4JzjHjhFG",en
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India - ABC News  https://t.co/vp9b0oBdH2 @kakar_harsha @Qamarcheema,en
Coronavirus: 30 sadhus at Kumbh Mela test positive for COVID-19 in Haridwar #CoronavirusIndia #coronavirus #Corona #IndiaFightsCorona #COVIDー19 #COVID19India #COVIDSecondWave #KumbhMela   https://t.co/oVSIfxO0Gl,in
Coronavirus hits Kumbh Mela 2021: Death of COVID-19 positive Akhada head to rising infections  https://t.co/cOcSdY9r2G,en
#ModiGovtSeNaHoPayega #KumbhCorona From the last two days in India thier are fresh 2 lakh+ cases are reported. Still gathering is done in elections and in even kumbh mela too  Govt truly fails  #COVIDSecondWave  #coronavirus  #WhereisPM  #Corona  https://t.co/3tPQnKBVSX,en
At least 30 sadhus have tested positive for the coronavirus disease and one has died during the ongoing Kumbh Mela in Uttarakhand   https://t.co/EO3wrJr4Le,en
"Kumbh Mela 2021, How Bhakti Will Challenge Corona’s Shakti: India Is Worst-Hit By the Second Wave Of Coronavirus but Kumbh Mela Will Continue Till 30 April.  https://t.co/qmfPq2OVw1",en
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India  https://t.co/NT5fgTu28U,en
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India  https://t.co/4BxxqduP56,en
Haridwar Kumbh Mela to end on April 17: Niranjani Akhada   https://t.co/VeBN65DPdw  #KumbhMela2021 #coronavirus #COVID19India,hi
Hundreds test positive to coronavirus at ‘superspreader’ Kumbh Mela festival in India  https://t.co/2yDW6shKNY,en
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India  https://t.co/xbHE55qFIo,en
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India  https://t.co/tjIU4bdCqM,en
"Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period  https://t.co/qTqilkScPk",en
Karnataka govt asks Kumbh Mela returnees to isolate themselves and undergo COVID test   https://t.co/8ra0HJ3Vet  #Bengaluru #Bangalore #Karnatakagovernment #KumbhMela #Pilgrims #Haridwar #quarantine #coronavirus #Covid19 #HealthMinister #DrKSudhakar @mla_sudhakar,en
What Will Be The Fate Of Other Sadhus Who Participated Along With Affected Sadhus &amp; Steps Initiated By Govt. To Check Spreading Coronavirus Who Participated In Mela?  Survival Of Humanity Needed.  30 Sadhus At Kumbh Mela In Haridwar Test Postive For Covid  https://t.co/kRu8St5p0W,en
"Kumbh Mela: ਕੁੰਭ ਦੇ ਮੇਲੇ 'ਚ ਕੋਰੋਨਾ ਵਿਸਫੋਟ, 1700 ਤੋਂ ਵੱਧ ਲੋਕ ਕੋਰੋਨਾ ਪੌਜ਼ੇਟਿਵ, ਸ਼ਰਧਾਲੂ ਦੇਸ਼ ਭਰ 'ਚ ਫੈਲਾ ਸਕਦੇ ਕੋਰੋਨਾ  https://t.co/uybsSmNk8y #kumbhmela2021 #coronavirus #Covid19Positive #CoronaCases",pa
What Will Be The Fate Of Other Sadhus Who Participated Along With Affected Sadhus &amp; Steps Initiated By Govt. To Check Spreading Coronavirus Who Participated In Mela?  Survival Of Humanity Needed.  30 Sadhus At Kumbh Mela In Haridwar Test Postive For Covid  https://t.co/fHiraOysny,en
Kumbh Mela is as safe as women in India #coronavirus  #KumbhMela2021,en
India is worst-hit by the second wave of coronavirus but Kumbh Mela will continue till 30 April 🙄  #WhereisPM  #KumbhCorona,en
"The decision came a day after the Uttarakhand state government ruled out the possibility of curtailing the Kumbh Mela, even as coronavirus infections spike in Haridwar. #KumbhMela2021 #HaridwarMahakumbh2021   https://t.co/znodYA4ypN",en
"Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period - The Hindu Who saw that coming? #KumbhMela #KumbhCorona  https://t.co/uUu4Vx0clX",en
Kumbh Mela 2021: 30 Sadhus Test Positive For COVID-19 in Haridwar So Far #KumbhMela2021 #Haridwar #Uttarakhand #COVID19 #Coronavirus   https://t.co/oKJtHKP7a6,en
You have to wear mask alone in car but God will save you in kumbh mela from coronavirus. Meanwhile coronavirus be like:  #KumbhCorona #KumbhMela2021 #CoronaPandemic  https://t.co/x26TBgvjQA,en
"Coronavirus News Live Updates: 30 Sadhus Test Covid Positive at Kumbh Mela in Haridwar, Medical Teams Taking RT-PCR Tests in Akharas  https://t.co/ggguASZfiB",in
"Coronavirus News Live Updates: 30 Sadhus Test Covid Positive at Kumbh Mela in Haridwar, Medical Teams Taking RT-PCR Tests in Akharas  https://t.co/rir4YshoV4",in
"Coronavirus News Live Updates: 30 Sadhus Test Covid Positive at Kumbh Mela in Haridwar, Medical Teams Taking RT-PCR Tests in Akharas  https://t.co/TtOU5YB702",in
"@ShekharGupta India has registered a daily total of more than 200,000 new coronavirus cases for the first time. However huge crowds have continued to participate in the Kumbh Mela religious festival where hundreds of devotees, including nine top saints, tested positive for Covid",en
"@narendramodi India has registered a daily total of more than 200,000 new coronavirus cases for the first time. However huge crowds have continued to participate in the Kumbh Mela religious festival where hundreds of devotees, including nine top saints, tested positive for Covid",en
"Brazil's P1 coronavirus variant mutating, may become more dangerous -study | Reuters  Doesn’t matter, we have Kumbh mela and elections going on. The virus can’t cause any damage at all.!   #covid   https://t.co/U3leYyT9uZ",en
Kumbh Mela lays bare BJP's double standards  https://t.co/ChwxRQ3JOk @deccanherald   Uttarakhand CM invites more to Kumbh Mela  blessings of Ma Ganga will ensure that coronavirus does not spread No action against CM misguiding giving a dangerous &amp; death call to Innocent devotees?,en
"Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period - The Hindu   https://t.co/YmEUeOc6We",en
"Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period - The Hindu  https://t.co/YjHLKGw6a7",en
"Latest: In view of the deteriorating situation due to COVID-19, Kumbh Mela has concluded for us. Main shahi snan is over &amp; many from our Akhara are showing symptoms of coronavirus. - Ravindra Puri, Secretary of Niranjani Akhara --Good decision, should be followed by all Akharas🙏",en
"@narendramodi @CMOfficeUP this could have been avoided. 🙏  @Mahesh10816  The Hindu: Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period.  https://t.co/7teTwF1HVY  via @GoogleNews",en
"Wow!!! The fastest spreaders of the #Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period  https://t.co/Z7kLu0pEPR",en
"1,700 test positive for coronavirus in Kumbh Mela  https://t.co/UggOr4ta7g",in
"Over 1,700 people have tested positive for Covid-19 in the Haridwar Kumbh Mela from April 10 to 14, confirming fears that one of the world’s largest religious gatherings may contribute further to the rapid rise in coronavirus cases.  குறைந்தது ஒரு லச்சம் பேராவது பாதிக்கப் படுவர்.",en
"Everyone is attacking the Kumbh Mela, but little do they know that UP state has distributed Ivermectin which is thought to have drastically controlled deaths from coronavirus in that state. Maharashtra has not, and that is where the outbreak is. But I could be wrong.",en
Crowds gather for Kumbh Mela festival as India's coronavirus cases surge  https://t.co/SKRpaf83Yu @Reuters_co_jpより,ca
"Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period  https://t.co/MQD9sbATTt",en
"1,700 test positive in Kumbh Mela #Coronavirus #KumbhMela #Rishikesh #CovidnormsViolation #SocialDistancing  https://t.co/qaBMvQ3b8E",in
"Kumbh Mela has turned into a super spreader event with 1,700 people testing positive for coronavirus from April 10 to 14. total of 2167 people were found positive for coronavirus in Haridwar.",en
"Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period  https://t.co/S0vs2xkrPl",en
"#KumbhMela2021 #KumbhCorona  THIS IDIOT IS TELLING ALL OTHER IDIOTS TO GO BACK TO THEIR HOMETOWNS IMMEDIATELY. KUMBH MELA CALLED OFF IN THE WAKE OF EXPLOSIVE SURGE IN POSITIVE CASES OF #coronavirus &amp; RESULTANT DEATHS. I SHUDDER TO THINK ABOUT THE ""NEAR FUTURE"" OF THIS NATION.",en
#KumbhCorona The new Coronavirus strain has turned airborne . People are requested to wear facemask even at home while interacting with the family members. _ Warned by The Telangana Public Health Director Dr G Srinivasa Rao. #COVID19India Do you still support the Kumbh Mela ?,en
"A total of 1,701 people have tested positive for COVID-19 in the Haridwar Kumbh Mela area from April 10 to 14 confirming fears that one of the world's largest religious gatherings may contribute further to the rapid rise in coronavirus cases.  https://t.co/o8tN68JdcW",en
"Over 1,700 people have tested positive for Covid-19 in the Haridwar Kumbh Mela area from April 10 to 14, confirming fears that one of the world’s largest religious gatherings may contribute further to the rapid rise in coronavirus cases. TH",en
"Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period  https://t.co/Qy4ZgRIfMw",en
"@MarwanNizam You are free to believe whoever you want   The point remains : there were no election rallies in Maharashtra, no Kumbh mela, yet Maharashtra tops in Coronavirus cases.",en
Please stop all mass gathering.We can live without kumbh mela but we cannot live without our loved ones. #KumbhCorona #COVID19Vaccine #COVIDSecondWave #coronavirus #CoronaCurfew #lockdown We are in digital India make the best use of it. #ModiStopElectionRallies #DigitalMarketing,en
"Coronavirus | Over 1,700 Test Positive for COVID -19 | in Kumbh Mela | Over 5 Day Period  https://t.co/LfBdNNEWr2",en
"How predictable. The entire GoI has either been lobotomized, we're terminally stupid to begin with, or are irresponsible. Maybe all 3! All causes calling for removal. ""Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period""  https://t.co/s4t13osAe4",en
"@gita_mathew @carlsl ""1,701 Covid-19 cases detected at Haridwar Kumbh Mela in past 5 days - Coronavirus Outbreak News""  https://t.co/XFw5pQCyin",en
"1,700+ people have tested +ve for #Covid in the Kumbh Mela area from April 10 to 14 confirming fears that the gatherings may contribute further to the rapid rise in coronavirus cases.  Tablighi Jamat like outrage still awaited......  #Corona #KumbhCorona  https://t.co/AsCe5KLBWf",en
"A total of 2167 people were found positive for coronavirus in Haridwar -- the place where the month-long #KumbhMela is going on -- in the last five days. Despite a record surge in #COVID19 cases, the Kumbh Mela will continue till April 30, officials said.  https://t.co/kwcqbBTbyc",en
"Watch ""Kumbh Mela and Coronavirus | 'Hindu Tablighi Jamaat' | Kumar Shyam"" on YouTube  https://t.co/cN2mUUXBBv",in
@Pawan_Jhabak @DrRPNishank @narendramodi @AmitShah @PMOIndia @HMOIndia @transformIndia @mygovindia @EduMinOfIndia @PIB_India @MIB_India @DDNewslive Elections are government's top priority therefore they cannot cancel it. Therefore coronavirus is increasing 😒😒. Kumbh mela shouldn't have held this year because the deadly virus is spreading. And about ipl you know it better. Government has no right to put youth's life at risk,en
"Coronavirus, Haridwar Kumbh Mela: Over 1,700 Test COVID-19 Positive At Haridwar Kumbh Over 5 Days: Official  https://t.co/bwBjTtwWMY",en
"‘Super-spreader’: Over 1,000 COVID positive at India’s Kumbh Mela | Coronavirus pandemic News | Al Jazeera  https://t.co/48ICb1O9MZ via @AJEnglish",en
"@ShivAroor No news channel is talking about  Kurnool, Andhra Pradesh, why ? Everyone is talking about Haridwar's Kumbh Mela but why not Gathering af Golden Temple or Mosques in Hyderabad? This is called selective targeting to Hindu ppl. #coronavirus",en
"@QnOfHell Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period - The Hindu -  https://t.co/2kvqAYzkeN",en
"@INCIndia Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period - The Hindu -  https://t.co/2kvqAYzkeN",en
"A total of 1,701 people have tested positive for COVID-19 in Kumbh Mela from April 10 to 14 confirming fears that one of the world's largest religious gatherings may contribute further coronavirus cases.  #FMCC #kumbhmela #covid_19 #corona #indiafightscorona #covidvacccine  https://t.co/Hmea24qgqs",en
#BIGNEWS Kumbh Mela कुंभमेळ्यात १ हजार ५०० जण कोरोनाबाधित कुंभमेळात ५० लाख जणांचा कुंभमेळ्यात सहभाग   #JaiMaharashtraNews #MarathiNews #Maharastra  @PrasadVKathe #KumbhMela #KumbhMela_CoronaHotspot #Corona #CoronaUpdate #CoronaVirusUpdates #Covid_19 #covid #CoronaVirus,mr
"Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period   https://t.co/LFt1VX3y3D",en
Last year @ArvindKejriwal gave separate numbers of #coronavirus patients of #Tablighi_Jamaat. Hope! This year he will give numbers of #Corona patients coming from #Kumbh_Mela.. @AamAadmiParty @SanjayAzadSln @raghav_chadha,en
Imagine the number of people attending “kumbh mela” Who will die due to corona virus and might even reincarnate as coronavirus.,en
"Haridwar Kumbh Mela 2021 News: Nirvani Akhara Mahamandaleshwar Kapil Dev Dies Of Coronavirus at Dehradun Kailash Hospital | निर्वाणी अखाड़े के महामंडलेश्वर कपिल देव की संक्रमण से जान गई, देहरादून में चल रहा था इलाज  https://t.co/rXZ6DA3teT",und
A total of 2167 people were found positive for coronavirus in Haridwar -- the place where the month-long Kumbh Mela is going on -- in the last five days.  Read more at:  https://t.co/6xrdGV4EUH,en
"Hay checkout this.what we call this💭 any guess? Plz don't say humans bombs,terrorist 😡 #COVIDSecondWave #Lucknow #मोदी_सरकार_ध्यान_दो #WeekendLockdown Coronavirus, Haridwar Kumbh Mela: Over 1,700 Test COVID-19 Positive At Haridwar Kumbh Over 5 Days  https://t.co/akefkLJX9y",en
"‘Super-spreader’: Over 1,000 COVID positive at India’s Kumbh Mela | Coronavirus pandemic News | Al Jazeera  https://t.co/Jw2wfzxSaA via @AJEnglish",en
"‘Limit of 100 imposed on wedding, 50 for funeral 8 phase of elections,  20,00,000 for kumbh mela..!!!  #KumbhCorona #COVIDSecondWave Super-spreader’: Over 1,000 COVID positive at India’s Kumbh Mela | Coronavirus pandemic News | Al Jazeera  https://t.co/7cRcGWNmK2 via @AJEnglish",en
"What we call this.. just think 💭 not to say 😝😜 #COVIDSecondWave Coronavirus, Haridwar Kumbh Mela: Over 1,700 Test COVID-19 Positive At Haridwar Kumbh Over 5 Days: Official  https://t.co/akefkLJX9y",en
"What we call this ....😅🥲😀😃 a human bomber or a terrorist 🤣😂😅.  🤔My view i can't say these words  #Covid-19 #IndiaCovidCase Coronavirus, Haridwar Kumbh Mela: Over 1,700 Test COVID-19 Positive At Haridwar Kumbh Over 5 Days: Official  https://t.co/akefkLJX9y",en
🔴 Coronavirus en India #Jueves15  200.739  nuevos casos. @ClaudiaAlamo  Casi un millón de devotos hindúes toman un baño sagrado en el río Ganges de la India durante el festival 'Kumbh Mela' de 1 meses de duración. 👇  https://t.co/IjsYX4Zzhx,es
"‘Super-spreader’: Over 1,000 COVID positive at India’s Kumbh Mela | Coronavirus pandemic News | Al Jazeera  https://t.co/0b6tUIbEh4 via @AJEnglish",en
"‘Super-spreader’: Over 1,000 COVID positive at India’s Kumbh Mela | Coronavirus pandemic News | Al Jazeera  https://t.co/2II6Hq4IJ6 via @AJEnglish #KumbhCorona",en
"Coronavirus | Over 1,700 test positive for COVID-19 in Kumbh Mela over 5-day period  https://t.co/hL06Y2fzxB  https://t.co/3Mos0NUezI",en
Coronavirus will continue to break records in this country along with the number of people gathered in Kumbh Mela and rallies/roadshows of politicians. The situation is out of control. Rapid vaccination/testing is the only plausible solution.   #COVIDSecondWave #COVID19India,en
"‘Super-spreader’: Over 1,000 COVID positive at India’s Kumbh Mela | Coronavirus pandemic News | Al Jazeera  https://t.co/fkyE8Bx8Xz via @AJEnglish",en
"Kumbh Mela: సార్.... అక్కడి నుంచేనా,  ఇక్కడికి వస్తే RT-PCR పరీక్ష, ఐసోలేషన్ లో !   https://t.co/kSRGwIEz3O #Coronavirus #Karnataka #Government",te
Kumbh Mela: Over 1700 people test positive for coronavirus in 5 days  https://t.co/VUqb0RMuG6,en
Kumbh Mela: Over 1700 people test positive for coronavirus in 5 days #KumbhMela   https://t.co/6AyECy6L1I,en
"More than 1,700 people tested positive for coronavirus in the Kumbh Mela area in Uttarakhand’s Haridwar from April 10 to 14 At a time when the people are battling fir life #Uttarakhand goverment organizing #KumbhCorona and our #GodiMedia sleeping as usual.  #KumbhMela2021  https://t.co/Z1KGvl4yNp",en
"1,701 have tested positive for #COVID-19 in the #Haridwar #KumbhMela area from April 10 to 14.   More RT-PCR test reports are awaited &amp; the number of infected persons in the Kumbh Mela Kshetra is likely to climb to 2,000.  #Coronavirus #COVID19   https://t.co/4vm3laoBIm",en
"A total of 1,701 people have tested positive for the coronavirus in Kumbh Mela in Haridwar from April 10 to 14.   Follow LIVE updates on #Coronavirus in India here:    https://t.co/M8R5HlNdxT  https://t.co/KfGh5r8yJ2",en
Covid-19 protocol tossed away at Haridwar Kumbh Mela as 31 lakh throng for holy dip | Ground report - Coronavirus Outbreak News  https://t.co/xF8Qs6lH7h,en
#NewsAlert   Over 1500 devotees out of some thousands tested at the Kumbh Mela have so far tested positive of COVID19.   #1ShotNews | #KumbhMela | #Kumbh | #Haridwar | #Uttarakhand | #Coronavirus | #COVID19 | #NewsUpdate  https://t.co/wjE1kbItkr,en
